iter	Passed	Remaining
0	135	135502
1	137	68708
2	140	46564
3	143	35608
4	146	29161
5	147	24510
6	149	21273
7	152	18870
8	153	16935
9	155	15384
10	157	14147
11	159	13110
12	161	12237
13	163	11541
14	165	10883
15	167	10310
16	169	9791
17	171	9335
18	172	8916
19	174	8553
20	176	8228
21	177	7912
22	179	7622
23	181	7366
24	182	7126
25	184	6907
26	186	6704
27	187	6513
28	189	6336
29	190	6171
30	192	6021
31	194	5874
32	195	5736
33	197	5610
34	198	5484
35	200	5366
36	202	5260
37	203	5163
38	205	5057
39	206	4962
40	208	4872
41	209	4786
42	211	4706
43	212	4626
44	214	4550
45	216	4483
46	218	4427
47	220	4366
48	221	4299
49	223	4238
50	224	4180
51	226	4121
52	227	4061
53	228	4006
54	230	3961
55	231	3906
56	232	3853
57	234	3800
58	235	3755
59	236	3707
60	237	3660
61	238	3614
62	240	3570
63	241	3530
64	242	3489
65	243	3446
66	245	3414
67	247	3385
68	248	3349
69	249	3310
70	249	3270
71	250	3232
72	251	3194
73	252	3164
74	253	3128
75	254	3092
76	255	3058
77	255	3022
78	256	2988
79	256	2954
80	258	2930
81	259	2901
82	260	2872
83	260	2842
84	261	2812
85	261	2782
86	262	2753
87	263	2725
88	263	2698
89	264	2673
90	265	2647
91	265	2621
92	266	2596
93	266	2571
94	267	2547
95	268	2524
96	268	2501
97	269	2479
98	270	2457
99	270	2436
100	271	2414
101	271	2393
102	272	2373
103	273	2358
104	275	2347
105	276	2334
106	277	2317
107	278	2298
108	279	2280
109	279	2262
110	280	2245
111	281	2229
112	281	2212
113	282	2195
114	283	2179
115	283	2163
116	284	2148
117	285	2132
118	286	2117
119	286	2102
120	287	2089
121	288	2075
122	289	2064
123	290	2050
124	291	2037
125	291	2023
126	292	2010
127	293	1999
128	294	1988
129	295	1976
130	296	1964
131	296	1952
132	297	1940
133	298	1929
134	299	1917
135	300	1906
136	301	1896
137	301	1886
138	302	1876
139	303	1866
140	304	1858
141	305	1847
142	306	1836
143	307	1825
144	307	1816
145	309	1807
146	309	1798
147	310	1788
148	311	1777
149	311	1767
150	312	1758
151	313	1748
152	314	1738
153	314	1729
154	315	1721
155	316	1712
156	317	1704
157	318	1696
158	319	1688
159	320	1680
160	320	1671
161	321	1663
162	322	1655
163	323	1647
164	324	1639
165	325	1632
166	325	1625
167	326	1617
168	327	1612
169	328	1605
170	329	1597
171	330	1589
172	331	1583
173	332	1576
174	332	1569
175	334	1564
176	334	1557
177	335	1550
178	336	1543
179	337	1536
180	338	1529
181	339	1523
182	340	1518
183	340	1511
184	341	1504
185	342	1498
186	343	1491
187	343	1484
188	345	1480
189	346	1475
190	347	1471
191	348	1465
192	349	1460
193	350	1455
194	351	1451
195	352	1444
196	353	1439
197	353	1433
198	354	1427
199	355	1421
200	356	1417
201	357	1411
202	357	1404
203	358	1399
204	359	1393
205	360	1387
206	362	1388
207	363	1383
208	364	1378
209	364	1372
210	365	1367
211	366	1362
212	367	1359
213	368	1355
214	369	1350
215	370	1345
216	371	1340
217	372	1336
218	373	1331
219	374	1326
220	375	1322
221	376	1318
222	377	1314
223	378	1309
224	379	1305
225	379	1300
226	380	1295
227	381	1292
228	382	1287
229	383	1282
230	383	1277
231	384	1273
232	385	1268
233	386	1264
234	386	1259
235	387	1254
236	388	1249
237	389	1245
238	390	1244
239	391	1240
240	392	1236
241	393	1232
242	394	1227
243	394	1223
244	396	1220
245	396	1216
246	397	1212
247	398	1207
248	399	1203
249	399	1199
250	400	1195
251	401	1192
252	402	1189
253	403	1185
254	404	1182
255	405	1178
256	406	1176
257	407	1172
258	408	1168
259	409	1165
260	410	1162
261	411	1158
262	411	1154
263	412	1150
264	413	1146
265	414	1142
266	414	1138
267	415	1134
268	416	1130
269	417	1127
270	418	1126
271	419	1123
272	420	1120
273	421	1116
274	421	1112
275	422	1108
276	423	1105
277	424	1102
278	425	1099
279	426	1095
280	426	1092
281	427	1088
282	428	1085
283	429	1082
284	429	1078
285	430	1075
286	431	1072
287	432	1070
288	433	1067
289	434	1064
290	435	1061
291	436	1058
292	437	1055
293	438	1052
294	438	1048
295	440	1046
296	441	1043
297	441	1040
298	442	1037
299	443	1033
300	443	1030
301	444	1027
302	445	1024
303	448	1026
304	450	1025
305	451	1022
306	452	1021
307	453	1018
308	454	1016
309	455	1013
310	456	1010
311	456	1007
312	457	1004
313	458	1001
314	459	999
315	460	996
316	461	994
317	463	994
318	464	991
319	465	988
320	465	985
321	466	982
322	467	979
323	468	976
324	469	974
325	470	971
326	470	969
327	471	966
328	472	963
329	473	961
330	474	958
331	476	958
332	477	956
333	478	953
334	479	951
335	481	951
336	482	948
337	483	946
338	484	943
339	484	941
340	486	939
341	486	936
342	488	935
343	489	933
344	490	931
345	491	929
346	492	927
347	493	924
348	494	921
349	495	919
350	495	916
351	496	914
352	497	911
353	498	909
354	499	907
355	500	904
356	501	902
357	501	899
358	503	898
359	505	897
360	506	896
361	507	894
362	508	892
363	509	890
364	510	888
365	511	886
366	512	883
367	513	881
368	514	879
369	514	876
370	515	874
371	516	871
372	517	869
373	518	867
374	519	865
375	520	863
376	521	861
377	521	858
378	522	856
379	523	854
380	524	851
381	524	849
382	525	846
383	526	844
384	526	841
385	527	839
386	528	837
387	529	835
388	530	832
389	530	830
390	531	828
391	534	828
392	535	826
393	536	824
394	536	822
395	537	820
396	538	817
397	539	815
398	540	813
399	540	811
400	541	808
401	542	806
402	542	804
403	543	801
404	544	799
405	544	797
406	545	794
407	546	792
408	547	790
409	548	788
410	549	786
411	549	784
412	550	782
413	551	780
414	552	778
415	552	776
416	553	774
417	554	772
418	555	770
419	556	767
420	556	765
421	557	763
422	558	761
423	558	759
424	559	757
425	560	755
426	562	754
427	563	753
428	564	751
429	564	748
430	565	746
431	566	744
432	567	742
433	568	740
434	568	738
435	569	736
436	570	734
437	571	732
438	571	730
439	572	728
440	573	726
441	573	724
442	574	722
443	575	720
444	576	719
445	577	717
446	578	715
447	579	713
448	580	711
449	580	709
450	581	708
451	582	706
452	583	704
453	583	702
454	584	700
455	585	698
456	585	696
457	586	694
458	587	692
459	588	690
460	588	688
461	596	694
462	597	693
463	598	691
464	599	689
465	599	687
466	600	685
467	601	683
468	601	681
469	602	679
470	602	677
471	603	675
472	604	673
473	605	672
474	606	670
475	607	669
476	608	667
477	609	665
478	610	663
479	610	661
480	611	660
481	612	658
482	613	656
483	613	654
484	614	652
485	615	650
486	615	648
487	616	646
488	617	645
489	618	643
490	619	641
491	620	640
492	621	639
493	622	637
494	623	635
495	624	634
496	624	632
497	625	630
498	626	628
499	627	627
500	627	625
501	628	623
502	629	621
503	629	619
504	630	618
505	631	616
506	632	614
507	632	612
508	633	611
509	634	609
510	635	608
511	636	607
512	637	605
513	638	603
514	639	602
515	640	600
516	641	598
517	641	597
518	642	595
519	643	593
520	643	591
521	644	590
522	645	588
523	645	586
524	646	585
525	648	584
526	650	583
527	650	581
528	651	580
529	652	578
530	653	576
531	654	575
532	654	573
533	655	572
534	656	570
535	657	569
536	658	567
537	658	565
538	659	564
539	660	562
540	661	560
541	661	559
542	662	557
543	664	556
544	665	555
545	666	553
546	666	552
547	667	550
548	668	548
549	669	547
550	669	545
551	670	544
552	671	542
553	672	541
554	672	539
555	673	537
556	674	536
557	674	534
558	675	533
559	676	531
560	678	530
561	679	529
562	680	527
563	680	526
564	681	524
565	682	523
566	683	521
567	683	520
568	684	518
569	685	516
570	685	515
571	686	513
572	687	512
573	688	510
574	688	509
575	689	507
576	690	506
577	691	504
578	692	503
579	693	501
580	693	500
581	694	498
582	695	497
583	696	495
584	696	494
585	697	492
586	698	491
587	699	489
588	699	488
589	700	486
590	701	485
591	701	483
592	702	482
593	703	480
594	703	479
595	705	477
596	706	476
597	707	475
598	708	474
599	709	472
600	709	471
601	710	469
602	711	468
603	712	466
604	712	465
605	713	463
606	714	462
607	714	460
608	715	459
609	716	457
610	717	456
611	717	455
612	718	453
613	719	452
614	722	452
615	723	450
616	724	449
617	724	448
618	725	446
619	726	445
620	727	443
621	727	442
622	728	440
623	729	439
624	729	437
625	730	436
626	731	435
627	732	433
628	732	432
629	733	430
630	734	429
631	735	428
632	736	426
633	737	425
634	738	424
635	738	422
636	739	421
637	740	419
638	741	418
639	741	417
640	742	415
641	743	414
642	743	413
643	744	411
644	745	410
645	745	408
646	746	407
647	747	406
648	748	404
649	748	403
650	749	402
651	751	400
652	751	399
653	752	398
654	753	396
655	754	395
656	755	394
657	755	392
658	756	391
659	757	390
660	757	388
661	758	387
662	759	385
663	759	384
664	760	383
665	761	381
666	762	380
667	762	379
668	763	377
669	764	376
670	765	375
671	766	374
672	767	372
673	768	371
674	768	370
675	769	368
676	770	367
677	770	366
678	771	364
679	772	363
680	773	362
681	773	360
682	774	359
683	775	358
684	775	356
685	776	355
686	777	354
687	778	353
688	779	351
689	780	350
690	781	349
691	782	348
692	782	346
693	783	345
694	784	344
695	785	342
696	785	341
697	786	340
698	787	339
699	787	337
700	788	336
701	789	335
702	790	333
703	790	332
704	791	331
705	792	329
706	793	328
707	794	327
708	795	326
709	796	325
710	796	323
711	797	322
712	798	321
713	799	320
714	799	318
715	800	317
716	801	316
717	801	314
718	802	313
719	803	312
720	803	311
721	804	309
722	805	308
723	806	307
724	807	306
725	807	304
726	808	303
727	809	302
728	810	301
729	811	299
730	811	298
731	812	297
732	813	296
733	814	295
734	815	294
735	816	292
736	816	291
737	817	290
738	818	289
739	819	287
740	819	286
741	820	285
742	822	284
743	823	283
744	824	282
745	824	280
746	825	279
747	826	278
748	827	277
749	828	276
750	828	274
751	829	273
752	830	272
753	831	271
754	831	269
755	832	268
756	833	267
757	834	266
758	834	265
759	835	263
760	836	262
761	838	261
762	839	260
763	840	259
764	841	258
765	842	257
766	843	256
767	844	254
768	844	253
769	845	252
770	846	251
771	847	250
772	848	249
773	850	248
774	851	247
775	852	246
776	853	244
777	853	243
778	854	242
779	855	241
780	856	240
781	856	238
782	857	237
783	858	236
784	859	235
785	859	234
786	860	232
787	861	231
788	861	230
789	862	229
790	863	228
791	864	227
792	865	225
793	866	224
794	867	223
795	868	222
796	868	221
797	870	220
798	870	219
799	871	217
800	872	216
801	873	215
802	873	214
803	874	213
804	875	212
805	876	210
806	876	209
807	877	208
808	880	207
809	881	206
810	882	205
811	883	204
812	883	203
813	884	202
814	885	201
815	886	199
816	887	198
817	887	197
818	888	196
819	889	195
820	890	194
821	890	192
822	891	191
823	892	190
824	893	189
825	894	188
826	895	187
827	896	186
828	897	185
829	897	183
830	898	182
831	899	181
832	900	180
833	901	179
834	901	178
835	902	177
836	903	175
837	904	174
838	905	173
839	905	172
840	906	171
841	907	170
842	909	169
843	910	168
844	910	167
845	911	165
846	912	164
847	913	163
848	914	162
849	914	161
850	915	160
851	916	159
852	917	158
853	918	156
854	918	155
855	919	154
856	920	153
857	920	152
858	921	151
859	922	150
860	924	149
861	925	148
862	926	147
863	927	145
864	928	144
865	929	143
866	930	142
867	931	141
868	932	140
869	933	139
870	934	138
871	936	137
872	938	136
873	939	135
874	940	134
875	942	133
876	943	132
877	944	131
878	945	130
879	946	129
880	947	127
881	948	126
882	948	125
883	949	124
884	951	123
885	951	122
886	952	121
887	953	120
888	955	119
889	956	118
890	957	117
891	958	116
892	959	114
893	959	113
894	960	112
895	961	111
896	962	110
897	963	109
898	964	108
899	965	107
900	966	106
901	967	105
902	968	103
903	968	102
904	969	101
905	970	100
906	971	99
907	972	98
908	973	97
909	975	96
910	975	95
911	976	94
912	977	93
913	978	92
914	979	91
915	980	89
916	981	88
917	982	87
918	983	86
919	984	85
920	985	84
921	986	83
922	987	82
923	988	81
924	988	80
925	989	79
926	990	78
927	991	76
928	992	75
929	995	74
930	996	73
931	997	72
932	998	71
933	999	70
934	1000	69
935	1001	68
936	1002	67
937	1002	66
938	1003	65
939	1005	64
940	1006	63
941	1006	61
942	1007	60
943	1008	59
944	1009	58
945	1010	57
946	1011	56
947	1012	55
948	1014	54
949	1014	53
950	1015	52
951	1016	51
952	1017	50
953	1017	49
954	1018	47
955	1019	46
956	1020	45
957	1021	44
958	1021	43
959	1022	42
960	1023	41
961	1024	40
962	1025	39
963	1026	38
964	1027	37
965	1028	36
966	1028	35
967	1029	34
968	1030	32
969	1031	31
970	1032	30
971	1033	29
972	1033	28
973	1034	27
974	1035	26
975	1036	25
976	1036	24
977	1037	23
978	1038	22
979	1039	21
980	1040	20
981	1041	19
982	1042	18
983	1043	16
984	1044	15
985	1044	14
986	1045	13
987	1046	12
988	1046	11
989	1047	10
990	1049	9
991	1049	8
992	1050	7
993	1051	6
994	1052	5
995	1053	4
996	1054	3
997	1055	2
998	1056	1
999	1056	0
